date,NO2
2025-08-31,9.602475074643737e-06
2025-09-01,9.602475074643737e-06
2025-09-02,9.602475074643737e-06
2025-09-03,3.863241772705806e-06
2025-09-04,2.0621235989892743e-06
2025-09-05,2.610054252727421e-07
2025-09-06,2.3980023797776084e-06
2025-09-07,8.013473689061355e-07
2025-09-08,-7.953076419653371e-07
2025-09-09,3.163769633829361e-06
2025-09-10,7.062300937832333e-06
2025-09-11,3.160350388498045e-06
2025-09-12,8.246174274972873e-06
2025-09-13,1.33319981614477e-05
2025-09-14,3.895515874319244e-06
2025-09-15,2.300228743479238e-06
2025-09-16,3.3634029819040734e-06
2025-09-17,4.426577220328909e-06
2025-09-18,5.489751458753744e-06
2025-09-19,6.55292569717858e-06
2025-09-20,6.684473191853613e-06
2025-09-21,5.717720796383219e-06
2025-09-22,5.834484454680933e-06
2025-09-23,6.1470482251024805e-06
2025-09-24,6.895080787217012e-06
2025-09-25,1.2536801250462304e-06
2025-09-26,1.5062517775277229e-06
2025-09-27,1.7588234300092154e-06
2025-09-28,2.011395082490708e-06
2025-09-29,2.2639667349722004e-06
2025-09-30,5.610987500404008e-06
2025-10-01,5.308143499860307e-06
2025-10-02,7.6222991083341185e-06
2025-10-03,6.82023983245017e-06
2025-10-04,3.632157799415836e-06
2025-10-05,4.4407576638150214e-07
2025-10-06,6.10412915117801e-06
2025-10-07,1.1764182535974518e-05
2025-10-08,1.2678126111609345e-05
2025-10-09,1.3592069687244171e-05
2025-10-10,9.75990345371732e-06
2025-10-11,5.9277372201904655e-06
2025-10-12,5.149165190232452e-06
2025-10-13,1.0738692253653426e-05
2025-10-14,1.0560100918155513e-06
2025-10-15,8.769749911152758e-06
2025-10-16,3.884196303260978e-06
2025-10-17,1.122348021453945e-05
2025-10-18,5.00540363645996e-06
2025-10-19,7.713849299761932e-06
2025-10-20,4.269527835276676e-06
2025-10-21,8.252063707914203e-07
2025-10-22,9.235620382241905e-06
2025-10-23,9.021021166214874e-06
2025-10-24,8.806421950187845e-06
2025-10-25,8.591822734160814e-06
2025-10-26,8.998615612654248e-06
2025-10-27,9.405408491147682e-06
2025-10-28,9.812201369641116e-06
2025-10-29,1.0218994248134548e-05
2025-10-30,1.0625787126627982e-05
2025-10-31,1.1032580005121416e-05
2025-11-01,9.525715540803503e-06
2025-11-02,8.162679478118662e-06
2025-11-03,6.79964341543382e-06
2025-11-04,6.550588523168699e-06
2025-11-05,6.3015336309035774e-06
2025-11-06,1.2401545973261818e-05
2025-11-07,9.38435459829634e-06
2025-11-08,7.749144970148336e-06
2025-11-09,6.48130207991926e-06
2025-11-10,5.213459189690184e-06
2025-11-11,3.945616299461108e-06
2025-11-12,5.284430244500982e-06
2025-11-13,4.6212585402827244e-06
2025-11-14,4.103514811504283e-06
2025-11-15,3.5857710827258416e-06
2025-11-16,-3.503345169519889e-07
2025-11-17,1.1929215361305978e-05
2025-11-18,9.485433110967278e-06
2025-11-19,1.047844610487422e-06
2025-11-20,3.5263709732033835e-06
2025-11-21,6.004897335919345e-06
2025-11-22,8.483423698635306e-06
2025-11-23,6.824346655776026e-06
2025-11-24,2.359463678658358e-06
2025-11-25,-9.818282933338196e-07
2025-11-26,1.0300484518666051e-06
2025-11-27,3.0419251970670302e-06
2025-11-28,5.053801942267455e-06
2025-11-29,7.058352821331938e-06
2025-11-30,9.06290370039642e-06
2025-12-01,8.508005976182176e-06
2025-12-02,7.953108251967933e-06
2025-12-03,5.403683189797448e-06
2025-12-04,8.099672413663939e-06
2025-12-05,4.01339866584749e-06
2025-12-06,-7.287508196895942e-08
2025-12-07,3.231564733141568e-06
2025-12-08,6.536004548252095e-06
2025-12-09,5.817742021463346e-06
2025-12-10,5.1707515922316816e-06
2025-12-11,5.677861281583319e-06
2025-12-12,4.440743509803724e-06
2025-12-13,3.203625738024129e-06
2025-12-14,4.510742087404651e-06
2025-12-15,5.817858436785173e-06
2025-12-16,6.513858958593725e-06
2025-12-17,7.209859480402277e-06
2025-12-18,7.90586000221083e-06
2025-12-19,1.4346993566505262e-06
2025-12-20,2.5347534574393648e-06
2025-12-21,3.6348075582282034e-06
2025-12-22,4.734861659017042e-06
2025-12-23,5.834915759805881e-06
2025-12-24,6.93496986059472e-06
2025-12-25,9.960618626791984e-06
2025-12-26,1.470617553422926e-05
2025-12-27,7.886249704824877e-06
2025-12-28,1.066323875420494e-06
2025-12-29,6.973606105020735e-06
2025-12-30,6.81669359892112e-06
2025-12-31,6.659781092821504e-06
2026-01-01,6.502868586721888e-06
2026-01-02,6.3459560806222726e-06
2026-01-03,6.411022809515998e-06
2026-01-04,6.476089538409724e-06
2026-01-05,6.5411562673034496e-06
2026-01-06,6.606222996197175e-06
2026-01-07,2.4611618982817163e-06
2026-01-08,5.727873087835178e-06
2026-01-09,8.99458427738864e-06
2026-01-10,6.685219432256417e-06
2026-01-11,5.744444479205413e-06
2026-01-12,3.942187845495937e-06
2026-01-13,2.139931211786461e-06
2026-01-14,5.652363597619114e-06
2026-01-15,5.299873919284437e-06
2026-01-16,1.361212162009906e-05
2026-01-17,8.245168828580063e-06
2026-01-18,1.1410864317440428e-05
2026-01-19,6.9118759711273015e-06
2026-01-20,4.460482614376815e-06
2026-01-21,1.234730279975338e-05
2026-01-22,1.139261894422816e-05
2026-01-23,1.2258539754839148e-05
