date,CO,NO2,SO2
2025-10-01,0.0264952350407838,5.308143499860307e-06,-3.233822280890308e-05
2025-10-02,0.023209124803543,7.6222991083341185e-06,4.195479050395079e-05
2025-10-03,0.0270562432706356,6.82023983245017e-06,2.584953790574218e-06
2025-10-04,,,
2025-10-05,0.0230667572468519,4.4407576638150214e-07,1.167711798188975e-05
2025-10-07,,,
2025-10-08,0.0241764709353446,,
2025-10-09,,1.7424235920771025e-05,-0.0001015329980873
2025-10-10,,,
2025-10-11,0.0267572756856679,,5.596934715867974e-05
2025-10-12,0.022046661004424,5.9277372201904655e-06,-5.741653512814082e-05
2025-10-13,0.0275314208120107,5.149165190232452e-06,9.747934200277086e-06
2025-10-14,,1.0738692253653426e-05,-1.6920890629990026e-05
2025-10-15,0.0261444188654422,1.0560100918155513e-06,3.639693750301376e-05
2025-10-16,0.0268016532063484,8.769749911152758e-06,-1.2231485015945507e-05
2025-10-17,0.0271526128053665,3.884196303260978e-06,-4.329568037064746e-05
2025-10-18,0.0270726960152387,1.122348021453945e-05,-1.6679892723914236e-05
2025-10-19,,5.00540363645996e-06,-6.331515760393813e-05
2025-10-20,,7.713849299761932e-06,0.0001615485234651
2025-10-21,0.0294174198061227,-6.56179008728941e-06,2.349693932046648e-05
2025-10-22,0.0230663567781448,8.252063707914203e-07,1.067611538019264e-05
2025-10-23,,9.235620382241905e-06,5.18961351190228e-05
2025-10-24,,,
2025-10-25,,,0.0001254504022654
2025-10-26,,8.591822734160814e-06,-4.745925616589375e-05
2025-10-27,,,
2025-10-28,,,0.0001896547037176
2025-10-29,,,
2025-10-30,,,
2025-10-31,,1.1032580005121416e-05,4.88557452626992e-05
2025-11-01,0.0275509413331747,9.525715540803503e-06,-2.233111263194587e-05
2025-11-02,0.0238407980650663,1.6599207810941152e-05,3.910741725121625e-05
2025-11-03,0.0275553278625011,6.79964341543382e-06,3.0005852750036865e-05
2025-11-04,,,
2025-11-05,,6.3015336309035774e-06,-1.8788343368214555e-05
2025-11-06,,1.2401545973261818e-05,-2.0170642528682947e-05
2025-11-07,,9.38435459829634e-06,-4.605672438628972e-05
2025-11-08,0.0244611799716949,7.749144970148336e-06,-2.043048880295828e-05
2025-11-09,,,
2025-11-10,,,-4.7077333874767646e-05
2025-11-11,0.0297044217586517,3.945616299461108e-06,6.354603101499379e-05
2025-11-12,,5.284430244500982e-06,-3.394632221898064e-05
2025-11-13,0.0282010342925786,4.6212585402827244e-06,1.3353424947126769e-05
2025-11-14,,,2.9080608783260686e-06
2025-11-15,0.0289646293967962,3.5857710827258416e-06,9.635344031266868e-05
2025-11-16,0.0286363642662763,-3.503345169519889e-07,-1.019396495394176e-05
2025-11-17,0.0256856065243482,1.1929215361305978e-05,3.4315133234485984e-05
2025-11-18,0.0248836372047662,9.485433110967278e-06,6.617113740503555e-06
2025-11-19,,,
2025-11-20,,,4.055923636769876e-05
2025-11-21,,-1.5827332390472293e-05,-8.771500870352611e-05
2025-11-22,0.026240112259984,8.483423698635306e-06,1.4456220014835708e-05
2025-11-23,0.0241386536508798,6.824346655776026e-06,-2.2184949557413347e-05
2025-11-24,0.0236498080193996,2.359463678658358e-06,-3.948299490730278e-05
2025-11-25,,-9.818282933338196e-07,4.834881474380381e-05
2025-11-26,,,
2025-11-27,,,
2025-11-28,0.0261244922876358,5.053801942267455e-06,-3.1562358344672248e-06
2025-11-29,,,
2025-11-30,0.0292190965265035,9.06290370039642e-06,1.66684349096613e-05
2025-12-01,,,-4.540782174444757e-05
2025-12-02,,7.953108251967933e-06,-4.339588485891e-05
2025-12-03,,5.403683189797448e-06,-2.1578460291493684e-05
2025-12-04,,8.099672413663939e-06,-1.5207663636829238e-05
2025-12-05,,,
2025-12-06,,,-5.447086368803866e-05
2025-12-07,,-4.1591488297854085e-06,0.0001299817522522
2025-12-08,0.0291329845786094,6.536004548252095e-06,-1.1219150337637984e-06
2025-12-09,0.0286277309060096,5.817742021463346e-06,1.840803997765761e-05
2025-12-10,0.0288277752697467,5.1707515922316816e-06,4.318992523622001e-06
2025-12-11,0.0300584994256496,5.677861281583319e-06,-2.9698754588025625e-05
2025-12-12,,,
2025-12-13,,3.203625738024129e-06,7.274932158907177e-06
2025-12-14,,,-6.0175480030011386e-05
2025-12-15,0.0283394381403923,5.817858436785173e-06,-0.0001376812870148
2025-12-16,,,
2025-12-17,,,
2025-12-18,,7.90586000221083e-06,8.525996236130595e-05
2025-12-19,0.0275943800806999,1.4346993566505262e-06,-2.1290195945766754e-05
2025-12-20,,,-3.6374767660163343e-06
2025-12-21,,,-8.973027433967218e-05
2025-12-22,,,-7.991876191226766e-05
2025-12-23,,,0.0004255578387528
2025-12-24,,6.93496986059472e-06,-2.908855094574392e-07
2025-12-25,0.0295704640448093,9.960618626791984e-06,-2.875203063013032e-05
2025-12-26,0.026563799008727,1.470617553422926e-05,3.695310442708433e-05
2025-12-27,,,-0.0001232692447956
2025-12-28,,1.066323875420494e-06,3.931055107386783e-05
2025-12-29,,6.973606105020735e-06,7.384697528323159e-05
2025-12-30,,,
2025-12-31,,,
2026-01-01,0.0248480141162872,,-2.0172257791273296e-05
2026-01-02,,6.3459560806222726e-06,7.803209882695228e-05
2026-01-03,,,
2026-01-04,0.0275106783956289,,1.9217146473238245e-05
2026-01-05,,,
2026-01-06,,6.606222996197175e-06,-1.926608820213005e-05
2026-01-07,,,
2026-01-08,0.0280015617609024,-1.683899199633743e-06,-0.0001429233379894
2026-01-09,0.0264129415154457,8.99458427738864e-06,8.558688932680525e-06
2026-01-10,0.0287429578602314,6.685219432256417e-06,1.34891788547975e-05
2026-01-11,,5.744444479205413e-06,3.4224554838147014e-05
2026-01-12,,,-3.335013389005326e-05
2026-01-13,,2.139931211786461e-06,-5.050578329246491e-05
2026-01-14,0.0261490233242511,5.652363597619114e-06,-1.749234252201859e-05
2026-01-15,0.0262393504381179,5.299873919284437e-06,3.355096123414114e-05
2026-01-16,0.0303794164210557,1.361212162009906e-05,6.301311805145815e-05
2026-01-17,,8.245168828580063e-06,2.74069079750916e-05
2026-01-18,0.026533680036664,1.1410864317440428e-05,6.742378900526091e-05
2026-01-19,0.0266497917473316,6.9118759711273015e-06,-1.6678692190907896e-05
2026-01-20,0.0263755805790424,4.460482614376815e-06,-2.96842263196595e-05
2026-01-21,0.0331819765269756,1.234730279975338e-05,1.7958847820409574e-05
2026-01-22,0.0317319296300411,1.139261894422816e-05,-4.236656241118908e-05
2026-01-23,0.0281759779900312,,-8.961350431491155e-06
2026-01-24,,,
2026-01-25,0.031199000775814,1.3990381376061125e-05,-1.2135395991208496e-05
2026-01-26,0.0334733873605728,1.2185155355837196e-05,-5.753952063969337e-05
2026-01-27,,,2.2892761990078725e-05
2026-01-28,0.0293591823428869,5.297064944898011e-06,8.690864774507645e-07
2026-01-29,,,2.001131906581577e-05
2026-01-30,,,
2026-01-31,0.0255834218114614,,1.1276042641839013e-05
2026-02-01,0.0298617295920848,1.1956996786466334e-05,-4.545183765003458e-05
2026-02-02,0.0287464372813701,9.673111890151633e-06,1.447204613214126e-05
2026-02-03,0.025848938152194,6.41576752968831e-06,-3.385619129403494e-05
2026-02-04,0.0232394654303789,3.6766077755601145e-06,-5.7271463447250426e-05
2026-02-05,0.0292631667107343,2.011316837524646e-06,-9.531266186968423e-06
2026-02-06,0.0241107009351253,,
2026-02-07,,,
2026-02-08,,,
2026-02-09,,,-8.840398368192837e-05
2026-02-10,,,
2026-02-11,,,-5.569824133999646e-05
2026-02-12,,,7.119319343473762e-05
2026-02-13,,,-8.658866863697767e-05
2026-02-14,,,
2026-02-15,0.0294222626835107,-2.3326525422362465e-07,-3.3091826026065974e-06
2026-02-16,0.0263286028057336,-3.459344100065209e-07,-1.1379876241335296e-06
2026-02-17,,-6.386010227288352e-07,-1.5550740499747917e-05
2026-02-18,0.0260002631694078,6.932457381481072e-06,-6.906444468768314e-05
2026-02-19,,,5.5226577387657017e-05
2026-02-20,,,
2026-02-21,,,
2026-02-22,0.0238092821091413,9.58031614572974e-06,-5.399304427555762e-05
2026-02-23,0.0205371119081974,,-2.364208012295421e-05
2026-02-24,,,-2.625469096528832e-05
2026-02-25,,,
2026-02-26,,8.5590354501619e-06,-2.9113651180523448e-05
2026-02-27,,,
2026-02-28,,,-5.679958121618256e-06
2026-03-01,,4.900351541436976e-06,2.5486609956715256e-05
2026-03-02,,4.091149548912654e-06,9.77268282440491e-05
2026-03-03,,,-4.820733011001721e-05
2026-03-04,0.0266187731176614,9.405321179656312e-06,1.2919163054903038e-05
2026-03-05,,,
2026-03-06,,1.927128505485598e-05,-0.0001123392503359
2026-03-07,,,
